"empl_ind_construction_%","agri_gross_value_livestock_m$","indstry_bus_trnsprt_pst_wrhsng_cnt","indstry_bus_prof_sci_tech_cnt","vhcl_light_rigid_truck","insolv_tot_debator_entr_bus_rel_per_insolv","agri_meat_chiecken_cnt","agri_broadacre_tot_area","bus_exit_20_plus_emply_cnt","year","vhcl_non_freight_truck","bus_exit_no_emply_cnt","empl_ind_admin_safety_%","fuel_type_diesel","bus_no_emply_cnt","bld_app_priv_dwl_exc_hs_cnt","sel_cause_non_bus_rel_insolv_caused_by_unemploy_loss_income","empl_ind_mnfctrng_%","res_prop_att_dwl_trnsfrs_cnt","indstry_bus_construction_cnt","vhcl_reg_over_10_yrs","vhcl_light_commercial","indstry_bus_mining_cnt","vhcl_heavy_rigid_truck","occ_debtor_service_worker","fuel_type_electric","vhcl_tot","p_t_trdmrk_apps_cnt","indstry_bus_hlth_soc_ass_cnt","indstry_bus_art_rec_cnt","agri_meat_cattle_cnt","empl_ind_admin_supp_%","bld_app_tot_priv_dwl_val_aud","bus_exit_5_19_emply_cnt","indstry_bus_admin_supp_cnt","bld_app_tot_non_res_bld_val_aud","occ_debtor_technician_trade","indstry_bus_retail_trd_cnt","vhcl_reg_less_than_5_yrs","vhcl_campervans","bld_app_tot_priv_dwl_cnt","indstry_bus_financ_insur_cnt","agri_gross_value_agri_production_m$","empl_ind_whlsle_trd_%","indstry_bus_accom_food_cnt","bld_app_priv_hse_cnt","fuel_type_petrol","vhcl_passenger","occ_debtor_professional","indstry_bus_tot_cnt","empl_ind_oth_serv_%","bld_app_priv_hse_val_aud","sel_cause_bus_rel_insolv_caused_by_economic","bld_app_priv_dwl_exc_hs_val_aud","indstry_bus_current_unkwn_cnt","indstry_bus_whlsle_trd_cnt","tourist_accom_over_15_rooms","bus_entr_tot_cnt","agri_area_holding","empl_ind_mining_%","occ_debtor_other_unkwn","empl_ind_edu_train_%","agri_veg_human_consumption","bus_entr_no_emply_cnt","bus_20_plus_emply_cnt","indstry_bus_ag_frst_fsh_cnt","indstry_bus_oth_serv_cnt","p_t_patent_apps_cnt","indstry_bus_rent_rl_est_cnt","indstry_bus_infomedia_telecom_cnt","bus_entr_5_19_emply_cnt","bld_app_tot_res_bld_val_aud","occ_debtor_sales_worker","indstry_bus_mnfctrng_cnt","bus_entr_20_plus_emply_cnt","indstry_bus_edu_train_cnt","sa3_code16","agri_gross_value_crops_m$","res_prop_att_dwl_med_sal_prc_aud","empl_ind_hlth_soc_assist_%","agri_fruit_nut_orchard_tree","occ_debtor_machinery_op_driver","vhcl_motorcycles","empl_ind_ag_frst_fsh_%","empl_tot","bus_tot_cnt","agri_dairy_cattle_cnt","occ_debtor_labourer","bld_app_tot_dwl_cnt","empl_ind_prof_sci_tech_cnt_%","agri_sheep_cnt","bus_5_19_emply_cnt","empl_ind_retail_trd_%","fuel_type_lpg_dual_other","insolv_tot_debator_entr_per_insolv","bus_entr_1_4_emply_cnt","occ_debtor_clerical_admin","empl_ind_trnsprt_pst_wrhsng_%","sel_cause_non_bus_rel_insolv_caused_by_excess_credit_use","empl_ind_elc_gs_wtr_wst_%","res_prop_hse_med_sal_prc_aud","empl_ind_rent_rl_est_%","agri_pig_cnt","vhcl_buses","insolv_tot_debator_entr_non_bus_rel_per_insolv","bus_exit_tot_cnt","empl_ind_financ_insur_%","indstry_bus_elc_gs_wtr_wst_cnt","bld_app_tot_bld_val_aud","res_prop_hse_trnsfs_cnt","vhcl_reg_5_to_10","bus_1_4_emply_cnt","empl_ind_accom_food_%","empl_ind_art_rec_%","occ_debtor_manager","bus_exit_1_4_emply_cnt","indstry_bus_pub_admin_safety_cnt","vhcl_articulated_truck","sa3_name16","empl_ind_infomedia_telecom_%"
"null","null","181","152","229","4","null","null","3",2015,"82","226","null","11010","2271","1","7","null","33.0","402","21030","9637","3","1140","5","null","35660","16","101","23","null","null","31.0","23","54","22.0","7","235","6073","162","78","173","null","null","143","77","23701","22273","null","4039","null","31.0","null","null","20","65","12","279","null","null","4","null","null","192","68","1916","136","3","285","10","12","36.0","null","99","null","24",21701,"null","197750.0","null","null","null","1605","null","null","4039","null","5","80","null","null","488","null","1391","28","73","4","null","7","null","178000.0","null","null","202","24","319","null","7","57.0","435.0","8570","1214","null","null","null","62","5","330","Glenelg  Southern Grampians","null"
"null","null","206","144","232","5","null","null","null",2015,"73","295","null","10462","2954","2","8","null","null","499","21962","9374","11","1323","null","3","36968","26","121","32","null","null","50.0","20","74","28.0","3","230","6275","168","140","194","null","null","209","138","24914","23199","null","4640","null","50.0","null","null","29","82","21","387","null","null","3","null","null","273","63","2129","139","3","347","16","9","52.0","null","120","null","32",21703,"null","null","null","null","null","1659","null","null","4640","null","7","140","null","null","379","null","1975","29","105","3","null","9","null","null","null","null","284","24","374","null","11","80.0","null","8720","1244","null","null","null","66","4","656","Colac  Corangamite","null"
"null","null","211","233","272","6","null","null","11",2015,"69","474","null","10531","3021","38","11","null","null","746","24164","9467","11","1272","null","3","44444","34","224","51","null","null","104.0","26","113","60.0","4","285","8730","185","326","298","null","null","243","288","32214","30564","null","5029","null","95.0","3","10.0","92","114","26","460","null","null","5","null","null","318","114","1533","169","5","449","15","22","109.0","null","157","3","42",21704,"null","null","null","null","5","1870","null","null","5029","null","8","326","null","null","528","null","2090","37","118","3","null","12","null","null","null","null","247","31","593","null","14","168.0","null","11493","1370","null","null","6","79","14","498","Warrnambool","null"
"null","null","376","774","444","11","null","null","3",2015,"48","556","null","11204","3342","340","29","null","454.0","1439","26255","10047","14","596","6","6","57511","116","273","55","null","null","157.0","25","223","85.0","12","369","13719","176","604","410","null","null","167","264","45771","43112","5","5797","null","85.0","null","72.0","67","234","null","748","null","null","4","null","null","501","111","85","312","14","594","34","25","161.0","8","269","3","73",30101,"null","394000.0","null","null","18","2708","null","null","5797","null","16","605","null","null","601","null","681","94","218","16","null","24","null","475000.0","null","null","256","83","736","null","22","246.0","1250.0","17047","1741","null","null","9","154","21","124","Capalaba","null"
"null","null","339","810","565","25","null","null","8",2015,"39","638","null","13489","3810","144","34","null","305.0","1518","30619","11561","19","803","14","9","65688","126","312","63","null","null","233.0","46","276","25.0","19","431","15847","294","902","576","null","null","206","758","51626","48892","12","6534","null","201.0","null","31.0","78","217","7","869","null","null","15","null","null","567","116","173","307","17","779","44","17","237.0","16","262","5","84",30102,"null","390000.0","null","null","14","3184","null","null","6534","null","12","902","null","null","566","null","779","126","276","18","null","36","null","499000.0","null","null","215","101","853","null","21","262.0","1730.0","18689","2047","null","null","6","160","23","135","Cleveland  Stradbroke","null"
"null","null","380","796","726","22","null","null","5",2015,"44","588","null","15353","3304","254","32","null","466.0","1096","23488","12077","15","956","6","3","61986","190","318","80","null","null","134.0","28","239","103.0","14","342","20203","162","458","407","null","null","191","204","46128","44368","9","5751","null","79.0","10","55.0","66","306","5","837","null","null","11","null","null","559","246","69","273","29","660","30","23","138.0","9","340","7","96",30103,"null","400000.0","null","null","15","2442","null","null","5751","null","8","458","null","null","643","null","647","111","246","24","null","32","null","550000.0","null","null","457","89","787","null","17","241.0","1405.0","17939","1564","null","null","15","167","37","754","Wynnum  Manly","null"
"null","null","172","423","171","8","null","null","3",2015,"3","270","null","4307","1977","207","13","null","275.0","546","12133","3966","6","185","3","null","28491","67","255","35","null","null","98.0","4","131","3.0","8","189","7231","60","352","280","null","null","108","145","23884","22679","8","3015","null","54.0","6","44.0","39","81","2","410","null","null","null","null","null","291","34","45","111","6","437","31","10","101.0","7","57","3","49",30201,"null","412000.0","null","null","null","1353","null","null","3015","null","4","352","null","null","193","null","298","47","109","12","null","12","null","556500.0","null","null","52","39","339","null","4","104.0","676.0","8922","811","null","null","null","56","13","22","Bald Hills  Everton Park","null"
"null","null","353","818","319","6","null","null","4",2015,"7","574","null","7099","3223","787","22","null","658.0","981","20884","6421","3","349","13","4","49997","124","402","88","null","null","219.0","34","226","89.0","13","371","13385","87","878","415","null","null","217","91","42369","40566","6","5570","null","64.0","null","155.0","70","229","8","762","null","null","null","null","null","521","159","44","282","13","673","47","11","224.0","null","227","3","96",30202,"null","428400.0","null","null","8","2086","null","null","5570","null","5","885","null","null","631","null","504","81","225","15","null","29","null","560000.0","null","null","130","75","739","null","14","313.0","1191.0","15459","1557","null","null","11","127","17","32","Chermside","null"
"null","null","417","420","1139","10","null","null","13",2015,"523","364","null","13065","2229","535","19","null","642.0","578","13607","9531","26","1473","7","null","53579","220","162","62","null","null","162.0","32","166","215.0","11","252","27463","387","618","259","null","null","133","83","40179","38475","8","3908","null","35.0","null","127.0","67","244","4","555","null","null","6","null","null","383","230","26","197","26","505","29","24","164.0","null","291","3","50",30203,"null","425000.0","null","null","11","1314","null","null","3908","null","5","618","null","null","513","null","403","65","141","8","null","22","null","508000.0","null","null","414","55","496","null","19","379.0","661.0","12363","940","null","null","null","88","13","323","Nundah","null"
"null","null","338","372","228","13","null","null","null",2015,"6","327","null","5795","1776","249","33","null","447.0","571","18126","5534","4","231","13","null","39615","54","161","44","null","null","144.0","11","140","24.0","9","196","9444","100","601","153","null","null","116","352","33364","31410","11","2801","null","99.0","5","45.0","29","79","null","459","null","null","13","null","null","340","47","37","135","4","233","14","9","148.0","9","89","null","57",30204,"null","375000.0","null","null","null","1941","null","null","2801","null","7","602","null","null","210","null","496","95","105","14","null","25","null","444000.0","null","null","121","82","411","null","4","172.0","977.0","11784","765","null","null","11","82","10","44","Sandgate","null"
"null","null","181","651","157","11","null","null","null",2015,"null","412","null","5039","2385","600","18","null","461.0","662","13160","3777","10","180","7","null","34445","82","373","56","null","null","234.0","25","161","33.0","6","234","9811","52","764","370","null","null","156","164","29100","28793","7","3864","null","96.0","5","138.0","40","105","null","568","null","null","null","null","null","391","58","49","153","6","467","44","22","236.0","6","89","null","60",30301,"null","465000.0","null","null","null","1427","null","null","3864","null","6","764","null","null","324","null","290","58","153","10","null","9","null","671500.0","null","null","45","47","529","null","9","270.0","843.0","11322","1101","null","null","8","96","5","14","Carindale","null"
"null","null","433","1184","525","15","null","null","3",2015,"17","712","null","11711","4292","1369","26","null","1025.0","874","19912","9019","8","396","12","10","56506","261","734","101","null","null","444.0","25","325","112.0","10","369","20493","146","1479","724","null","null","327","110","43954","43932","10","7057","null","109.0","null","335.0","101","225","8","1086","null","null","7","null","null","753","167","84","275","26","882","85","54","448.0","6","185","9","126",30302,"null","425000.0","null","null","9","2178","null","null","7057","null","10","1479","null","null","691","null","635","90","273","13","null","16","null","675001.0","null","null","272","75","881","null","8","561.0","933.0","15849","1904","null","null","13","132","27","21","Holland Park  Yeronga","null"
"null","null","479","899","235","18","null","null","3",2015,"9","693","null","6839","4152","646","13","null","590.0","935","20009","5736","15","279","4","6","48465","191","475","63","null","null","274.0","55","336","79.0","11","432","13126","87","995","641","null","null","344","349","40994","40257","8","6668","null","138.0","7","136.0","118","246","5","1054","null","null","9","null","null","686","163","85","247","13","1010","54","44","278.0","6","163","15","96",30303,"null","440000.0","null","null","9","1690","null","null","6668","null","4","995","null","null","619","null","464","73","307","13","null","19","null","620000.0","null","null","138","55","920","null","19","357.0","1099.0","15122","1741","null","null","9","167","19","34","Mt Gravatt","null"
"null","null","299","464","545","10","null","null","null",2015,"45","380","null","7310","2315","184","12","null","249.0","573","13902","5678","12","1001","null","null","33174","92","268","50","null","null","89.0","20","169","23.0","6","259","8834","67","279","287","null","null","150","95","25508","24063","4","3932","null","52.0","5","37.0","54","237","1","569","null","null","null","null","null","396","97","38","214","18","517","31","22","93.0","3","225","null","57",30304,"null","402000.0","null","null","null","1334","null","null","3932","null","5","279","null","null","479","null","391","41","150","13","null","6","null","570000.0","null","null","93","31","501","null","13","115.0","642.0","10278","1038","null","null","6","99","19","348","Nathan","null"
"null","null","594","524","676","15","null","null","9",2015,"56","530","null","10900","3186","351","34","null","416.0","706","17913","7592","13","1765","14","5","48495","162","243","41","null","null","87.0","39","273","132.0","16","431","14551","79","441","392","null","null","267","90","36967","35673","5","5670","null","33.0","7","54.0","73","460","3","887","null","null","8","null","null","560","251","85","307","10","774","22","41","92.0","9","348","5","63",30305,"null","364000.0","null","null","12","1446","null","null","5670","null","18","453","null","null","650","null","562","102","279","16","null","33","null","525000.0","null","null","181","87","728","null","17","223.0","1012.0","15878","1583","null","null","4","147","21","1027","Rocklea  Acacia Ridge","null"
"null","null","148","408","222","23","null","null","null",2015,"29","351","null","4990","1991","1","14","null","259.0","760","13093","4749","3","329","7","null","27553","62","188","51","null","null","56.0","13","151","21.0","null","159","6168","126","145","237","null","null","78","144","22308","20507","9","3059","null","56.0","10","null","46","112","1","453","null","null","7","null","null","319","31","61","136","11","286","49","13","58.0","4","108","null","48",30905,"null","313000.0","null","null","7","1448","null","null","3059","null","9","145","null","null","181","null","370","68","120","5","null","15","null","613000.0","null","null","112","45","448","null","4","79.0","597.0","8081","849","null","null","10","85","13","31","Mudgeeraba  Tallebudgera","null"
"null","null","395","689","522","32","null","null","7",2015,"19","691","null","8849","4017","67","26","null","660.0","1476","26735","9269","14","703","10","null","55100","154","261","105","null","null","71.0","29","285","120.0","29","418","11960","194","266","445","null","null","206","199","45542","40923","10","6201","null","55.0","15","15.0","91","224","3","940","null","null","8","null","null","670","85","75","310","29","702","55","29","71.0","17","315","3","79",30906,"null","330000.0","null","null","3","3160","null","null","6201","null","15","266","null","null","503","null","809","139","235","36","null","36","null","470000.0","null","null","214","107","910","null","18","191.0","1085.0","16024","1595","null","null","11","180","34","96","Nerang","null"
"null","null","552","1046","693","57","null","null","22",2015,"48","1223","null","15822","6228","448","74","null","1666.0","2388","35525","14293","24","1165","32","3","84540","443","334","166","null","null","616.0","59","434","133.0","57","592","21991","298","2463","757","null","null","329","2015","67835","63251","24","10154","null","528.0","21","88.0","167","496","4","1621","null","null","31","null","null","1098","313","202","527","34","1245","105","56","623.0","32","586","12","127",30907,"null","374546.0","null","null","25","4243","null","null","10154","null","30","2479","null","null","894","null","1079","310","454","42","null","71","null","456900.0","null","null","225","253","1583","null","40","755.0","1969.0","26413","2722","null","null","37","276","52","324","Ormeau  Oxenford","null"
"null","null","176","76","218","5","null","null","3",2015,"19","245","null","11001","2061","1","14","null","null","298","10029","7901","24","1485","4","null","18916","18","23","25","null","null","9.0","5","43","8.0","6","176","3892","42","29","58","null","null","125","28","8305","8009","3","3216","null","9.0","null","null","29","71","22","296","null","null","6","null","null","195","32","1750","80","null","167","8","7","11.0","null","55","3","12",31503,"null","null","null","null","3","640","null","null","3216","null","6","29","null","null","263","null","99","40","89","3","null","10","null","135000.0","null","null","134","35","295","null","3","19.0","176.0","4917","852","null","null","3","43","3","468","Outback  South","null"
"null","null","217","564","379","31","null","null","10",2015,"56","540","null","8570","3119","258","17","null","415.0","1095","17476","6446","13","496","9","null","40715","122","399","52","null","null","187.0","17","212","47.0","15","339","10187","141","669","448","null","null","154","411","31746","30869","7","5111","null","133.0","15","54.0","62","178","2","695","null","null","10","null","null","478","110","110","244","14","635","53","28","188.0","11","245","3","70",31601,"null","362500.0","null","null","8","2042","null","null","5111","null","12","669","null","null","487","null","469","94","179","13","null","27","null","530000.0","null","null","215","63","707","null","14","236.0","1127.0","12829","1394","null","null","9","145","13","71","Buderim","null"
"null","null","310","771","432","42","null","null","7",2015,"42","724","null","12023","4391","139","36","null","1013.0","1543","26730","9854","12","483","22","4","60285","167","449","92","null","null","271.0","54","266","93.0","25","498","14939","373","1034","733","null","null","298","895","47452","45947","10","7282","null","245.0","18","26.0","92","204","24","998","null","null","11","null","null","675","149","152","330","25","1001","52","38","273.0","16","326","4","111",31602,"null","380000.0","null","null","11","2857","null","null","7282","null","19","1034","null","null","715","null","798","148","282","20","null","39","null","500000.0","null","null","209","106","975","null","12","366.0","1690.0","18300","2035","null","null","14","194","25","88","Caloundra","null"
"null","null","234","851","381","37","null","null","9",2015,"37","647","null","9225","4239","197","25","null","1450.0","1288","21255","7473","5","382","17","8","47491","261","397","81","null","null","140.0","47","232","90.0","29","453","11817","220","449","724","null","null","396","252","37596","36007","11","6822","null","96.0","16","44.0","74","172","55","1041","null","null","8","null","null","696","149","99","277","22","1111","56","46","141.0","19","228","8","101",31603,"null","365000.0","null","null","7","2539","null","null","6822","null","10","449","null","null","673","null","622","136","294","20","null","27","null","520500.0","null","null","431","99","861","null","13","231.0","832.0","14177","1762","null","null","15","160","20","21","Maroochy","null"
"null","null","146","632","217","22","null","null","3",2015,"26","480","null","6531","3055","55","23","null","935.0","790","16058","5071","5","270","8","4","33953","201","286","66","null","null","187.0","37","200","9.0","12","406","7680","159","547","477","null","null","335","492","26946","25501","5","5056","null","174.0","6","12.0","71","144","49","661","null","null","null","null","null","438","89","50","182","9","957","55","28","193.0","null","165","3","90",31605,"null","405000.0","null","null","null","2545","null","null","5056","null","8","547","null","null","527","null","458","69","188","12","null","7","null","589000.0","null","null","145","47","626","null","7","202.0","891.0","10009","1379","null","null","9","107","15","19","Noosa","null"
"null","null","226","420","449","20","null","null","4",2015,"63","429","null","11183","2974","21","19","null","61.0","968","23218","9334","15","792","6","null","43434","78","177","73","null","null","92.0","36","171","11.0","15","325","8169","263","306","330","null","null","197","285","31781","29250","6","4683","null","89.0","7","3.0","40","132","5","504","null","null","11","null","null","372","71","661","196","11","382","36","18","95.0","9","228","null","79",31606,"null","315000.0","null","null","10","2855","null","null","4683","null","8","306","null","null","406","null","752","76","116","4","null","9","null","460000.0","null","null","160","56","597","null","29","106.0","961.0","11589","1234","null","null","7","127","7","268","Sunshine Coast Hinterland","null"
"null","null","174","343","374","19","null","null","3",2015,"92","359","null","8843","2222","55","19","null","null","892","19139","7068","10","805","null","3","36001","72","214","33","null","null","91.0","25","131","43.0","17","251","6801","179","370","226","null","null","146","315","26792","25133","7","3671","null","84.0","8","7.0","31","136","4","448","null","null","6","null","null","334","81","221","175","10","365","30","7","94.0","null","195","null","61",31607,"null","null","null","null","11","2100","null","null","3671","null","12","374","null","null","344","null","611","73","105","5","null","14","null","null","null","null","145","55","489","null","10","138.0","null","9751","1021","null","null","9","102","9","105","Nambour","null"
"null","null","106","281","179","10","null","null","3",2015,"15","250","null","5014","1474","5","11","null","null","505","10919","4062","15","291","null","null","19856","39","106","40","null","null","40.0","7","86","5.0","9","140","3406","127","119","143","null","null","72","114","14523","13716","3","2280","null","40.0","5","1.0","25","80","null","269","null","null","null","null","null","203","38","214","86","6","215","31","12","43.0","null","84","null","30",31608,"null","null","null","null","null","1321","null","null","2280","null","7","119","null","null","157","null","407","40","58","3","null","7","null","null","null","null","106","29","305","null","9","48.0","null","5345","607","null","null","4","46","6","39","Noosa Hinterland","null"
"null","null","222","138","398","10","null","null","3",2015,"39","408","null","16715","2797","5","17","null","27.0","478","20432","13670","28","1523","4","null","38249","13","118","21","null","null","25.0","15","84","21.0","8","258","7385","129","67","130","null","null","140","62","22545","20220","5","4574","null","24.0","3","1.0","37","51","17","344","null","null","7","null","null","238","80","2154","218","null","316","12","14","29.0","4","132","null","25",31801,"null","227500.0","null","null","5","1650","null","null","4574","null","13","67","null","null","463","null","276","57","99","7","null","15","null","206000.0","null","null","318","47","497","null","8","50.0","337.0","10280","1240","null","null","4","68","8","302","Charters Towers  Ayr  Ingham","null"
"null","null","871","1104","1417","68","null","null","15",2015,"326","1277","null","39061","6719","434","132","null","664.0","2633","64703","34838","67","2628","56","9","145506","190","849","127","null","null","369.0","96","481","357.0","57","752","34904","389","1415","710","null","null","537","981","106019","95912","26","11915","null","288.0","29","80.0","149","283","45","1497","null","null","44","null","null","968","389","494","787","61","1356","58","70","405.0","31","406","10","180",31802,"null","295000.0","null","null","44","8721","null","null","11915","null","55","1542","null","null","1525","null","1172","394","451","43","null","97","null","355000.0","null","null","524","326","1732","null","34","762.0","2679.0","45194","3283","null","null","38","342","43","751","Townsville","null"
"null","null","303","368","675","29","null","null","10",2015,"77","488","null","19790","3524","89","68","null","231.0","1081","37900","16537","25","1249","12","4","71703","100","326","47","null","null","127.0","35","227","78.0","29","402","14628","495","474","371","null","null","259","385","51883","48112","11","6126","null","113.0","12","14.0","45","141","28","649","null","null","22","null","null","403","217","1165","334","10","651","22","33","135.0","17","252","4","54",31901,"null","268500.0","null","null","20","3951","null","null","6126","null","35","482","null","null","761","null","860","172","211","17","null","42","null","294000.0","null","null","363","143","669","null","29","213.0","1373.0","18622","1628","null","null","null","139","18","244","Bundaberg","null"
"null","null","276","160","486","8","null","null","null",2015,"39","438","null","15446","3781","4","25","null","21.0","523","25179","12863","17","1905","7","null","43221","23","118","32","null","null","31.0","18","80","10.0","5","281","7587","288","136","160","null","null","172","132","27812","24590","null","5367","null","31.0","null","null","37","118","17","423","null","null","12","null","null","296","104","2718","197","7","261","13","21","36.0","null","160","3","27",31902,"null","190000.0","null","null","13","2311","null","null","5367","null","15","136","null","null","409","null","614","66","99","7","null","15","null","205000.0","null","null","316","58","529","null","19","46.0","571.0","10110","1063","null","null","null","72","5","423","Burnett","null"
"null","null","265","223","532","30","null","null","3",2015,"43","374","null","12879","2832","31","31","null","81.0","718","25288","10516","17","943","14","null","42563","55","145","30","null","null","62.0","35","107","21.0","20","299","7000","339","267","179","null","null","154","236","29271","27108","6","4306","null","58.0","12","4.0","31","99","12","440","null","null","12","null","null","310","66","1163","206","8","433","20","12","68.0","7","161","3","42",31903,"null","260000.0","null","null","10","2508","null","null","4306","null","25","267","null","null","380","null","796","112","117","8","null","19","null","282500.0","null","null","287","82","515","null","10","89.0","942.0","9981","1025","null","null","10","108","4","287","Gympie  Cooloola","null"
"null","null","187","246","343","24","null","null","3",2015,"16","309","null","10199","1864","17","40","null","228.0","752","22656","7899","5","529","18","3","43569","36","227","30","null","null","106.0","23","116","46.0","18","237","9019","353","440","283","null","null","172","423","32956","31861","15","3275","null","102.0","12","5.0","34","53","21","398","null","null","17","null","null","264","66","167","179","4","374","10","11","107.0","14","140","5","46",31904,"null","265000.0","null","null","10","2311","null","null","3275","null","13","440","null","null","381","null","624","124","124","7","null","25","null","330000.0","null","null","170","100","439","null","7","152.0","1139.0","11591","959","null","null","12","106","14","87","Hervey Bay","null"
"null","null","96","938","65","4","null","null","null",2015,"9","422","null","4443","2533","449","6","null","791.0","350","11353","2469","16","119","4","3","30013","210","542","50","null","null","190.0","27","147","58.0","null","236","8758","43","550","500","null","null","165","101","25226","26021","null","4156","null","75.0","null","115.0","64","108","3","553","null","null","null","null","null","365","81","76","115","125","533","42","22","196.0","6","66","null","96",30403,"null","480000.0","null","null","null","1153","null","null","4156","null","null","550","null","null","334","null","221","26","163","5","null","8","null","810000.0","null","null","64","22","519","null","9","254.0","646.0","9779","1199","null","null","5","75","10","70","Sherwood  Indooroopilly","null"
"null","null","490","394","129","6","null","null","4",2015,"16","476","null","4160","2534","47","10","null","256.0","518","13923","3054","5","183","7","null","33320","64","353","30","null","null","68.0","25","243","32.0","5","299","8655","63","205","242","null","null","297","158","28598","28780","6","4053","null","58.0","null","10.0","85","165","1","766","null","null","5","null","null","517","39","44","142","7","505","21","20","71.0","6","142","null","59",30306,"null","338000.0","null","null","4","941","null","null","4053","null","3","213","null","null","329","null","357","50","228","9","null","13","null","588000.0","null","null","111","44","627","null","3","103.0","681.0","10640","1157","null","null","5","121","18","43","Sunnybank","null"
"null","null","109","659","126","15","null","null","3",2015,"null","287","null","5840","1830","204","10","null","231.0","515","14326","4586","7","145","8","null","35209","181","234","55","null","null","104.0","17","155","9.0","6","175","9535","78","379","239","null","null","97","175","29075","28327","5","2974","null","65.0","3","38.0","31","87","null","396","null","null","6","null","null","263","55","42","140","5","241","36","9","139.0","4","77","3","63",30404,"null","437000.0","null","null","5","1825","null","null","2974","null","null","485","null","null","210","null","285","47","122","3","null","9","null","566500.0","null","null","122","32","398","null","7","149.0","819.0","11180","883","null","null","8","92","5","null","The Gap  Enoggera","null"
"null","null","365","3901","814","16","null","null","49",2015,"176","2007","null","23825","13380","3578","16","null","2371.0","1677","16107","12996","335","1550","12","15","69975","1537","1397","185","null","null","1103.0","130","923","747.0","8","871","35388","171","3601","4237","null","null","1092","23","44812","49552","13","20758","null","45.0","8","1058.0","403","486","96","2776","null","null","4","null","null","1977","823","274","432","323","3142","241","118","1106.0","6","446","37","278",30501,"null","510000.0","null","null","null","2493","null","null","20758","null","null","3601","null","null","2041","null","1007","78","648","18","null","22","null","1000000.0","null","null","2011","62","2624","null","35","1852.0","286.0","18316","4519","null","null","7","444","57","212","Brisbane Inner","null"
"null","null","169","882","232","12","null","null","4",2015,"4","485","null","5716","3046","253","9","null","704.0","680","10598","3823","34","343","7","7","29795","248","325","52","null","null","164.0","17","149","20.0","6","258","9506","40","357","806","null","null","168","104","23826","23715","5","4838","null","100.0","5","64.0","75","145","null","674","null","null","null","null","null","477","130","54","174","61","599","60","20","166.0","null","146","3","61",30502,"null","511600.0","null","null","5","1468","null","null","4838","null","6","357","null","null","432","null","251","47","170","10","null","14","null","830000.0","null","null","106","35","621","null","13","186.0","774.0","9522","1233","null","null","4","111","14","64","Brisbane Inner  East","null"
"null","null","380","1965","847","19","null","null","13",2015,"1660","1022","null","19797","6163","3890","28","null","2177.0","1104","22874","11716","37","1460","10","8","77841","401","937","181","null","null","1149.0","41","432","208.0","15","563","31756","521","4037","1011","null","null","369","147","57400","57593","20","10086","null","159.0","6","990.0","171","338","27","1528","null","null","6","null","null","1073","289","180","350","49","1507","107","55","1156.0","13","226","6","170",30503,"null","475000.0","null","null","9","2987","null","null","10086","null","9","4037","null","null","1027","null","520","112","387","15","null","37","null","812221.0","null","null","680","93","1294","null","19","1364.0","1143.0","22989","2610","null","null","15","215","24","377","Brisbane Inner  North","null"
"null","null","124","1703","260","9","null","null","6",2015,"13","689","null","11545","4486","1247","5","null","731.0","761","14357","7355","51","1262","5","4","45233","351","854","112","null","null","465.0","41","302","65.0","6","387","16963","40","1343","937","null","null","239","96","33079","34025","9","7550","null","146.0","3","319.0","100","206","8","1047","null","null","null","null","null","685","211","107","187","55","1024","99","42","473.0","null","153","8","174",30504,"null","495000.0","null","null","null","1953","null","null","7550","null","null","1343","null","null","697","null","350","46","320","8","null","14","null","830000.0","null","null","223","37","890","null","14","538.0","815.0","13697","2153","null","null","8","153","17","102","Brisbane Inner  West","null"
"null","null","132","507","170","4","null","null","3",2015,"67","260","null","4524","1717","1","12","null","72.0","386","9391","3171","12","340","null","null","25271","66","239","40","null","null","10.0","14","115","11.0","3","207","7278","40","9","294","null","null","117","8","20402","20428","9","2868","null","10.0","null","null","40","132","1","418","null","null","null","null","null","274","59","40","92","10","328","23","15","13.0","null","97","3","39",30401,"null","444000.0","null","null","3","919","null","null","2868","null","null","9","null","null","262","null","227","32","121","11","null","9","null","530000.0","null","null","45","28","347","null","5","24.0","565.0","8520","823","null","null","3","67","11","91","Centenary","null"
"null","null","114","1151","135","8","null","null","3",2015,"3","451","null","6218","2723","9","9","null","58.0","499","12415","3183","20","141","null","6","33699","84","388","61","null","null","66.0","26","182","49.0","null","239","9960","63","141","522","null","null","108","132","27250","28635","null","4409","null","64.0","null","2.0","54","138","null","586","null","null","null","null","null","417","60","114","93","13","447","58","14","71.0","null","98","3","93",30402,"null","505000.0","null","null","null","1474","null","null","4409","null","null","141","null","null","295","null","265","32","154","9","null","4","null","659500.0","null","null","57","24","587","null","8","120.0","810.0","11121","1334","null","null","8","110","9","8","Kenmore  Brookfield  Moggill","null"
